Instrument,HoldRollCycle,RollOffsetDays,CarryOffset,PricedRollCycle,ExpiryOffset
GOLD_micro,GJMQVZ,-40,1,GJMQVZ,26
GOOGL_yfinance,H,-999,0,H,0
GOOG_yfinance,H,-999,0,H,0
GPC_yfinance,H,-999,0,H,0
GPN_yfinance,H,-999,0,H,0
GRMN_yfinance,H,-999,0,H,0
GS_yfinance,H,-999,0,H,0
GWW_yfinance,H,-999,0,H,0
HAL_yfinance,H,-999,0,H,0
HANG,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,26
HANG-DIV,Z,-250,-1,Z,26
HANGENT,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,28
HANGENT-GTR,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,23
HANGENT-NTR,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,25
HANGENT_mini,FGHJKMNQUVXZ,-10,1,FGHJKMNQUVXZ,28
HANGTECH,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,25
HANG_mini,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,23
HAS_yfinance,H,-999,0,H,0
HBAN_yfinance,H,-999,0,H,0
HCA_yfinance,H,-999,0,H,0
HD_yfinance,H,-999,0,H,0
HEAT-DEG-AMS,FGHJVXZ,-5,1,FGHJVXZ,20
HEAT-DEG-LON,FGHJVXZ,-5,1,FGHJVXZ,20
HEAT-DEG-NY,FGHJVXZ,-5,1,FGHJVXZ,20
HEATOIL,FGHJKMNQUVXZ,-60,-1,FGHJKMNQUVXZ,14
HEATOIL-ICE,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,26
HEATOIL-mini,FGHJKMNQUVXZ,-30,1,FGHJKMNQUVXZ,14
HEATOIL_micro,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,24
HIBOR,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,16
HIGHYIELD,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,3
HIG_yfinance,H,-999,0,H,0
HII_yfinance,H,-999,0,H,0
HLT_yfinance,H,-999,0,H,0
HOLX_yfinance,H,-999,0,H,0
HON_yfinance,H,-999,0,H,0
HOOD_yfinance,H,-999,0,H,0
HOUSE-BO,GKQX,-5,1,GKQX,19
HOUSE-CG,GKQX,-5,1,GKQX,26
HOUSE-DC,GKQX,-5,1,GKQX,22
HOUSE-DN,GKQX,-5,1,GKQX,19
HOUSE-LA,GKQX,-5,1,GKQX,23
HOUSE-LV,GKQX,-5,1,GKQX,19
HOUSE-MI,GKQX,-5,1,GKQX,23
HOUSE-NY,GKQX,-5,1,GKQX,27
HOUSE-SD,GKQX,-5,1,GKQX,25
HOUSE-SF,GKQX,-5,1,GKQX,29
HOUSE-US,GKQX,-5,1,GKQX,15
HPE_yfinance,H,-999,0,H,0
